School_ID,School_Name,Division_Name,School_Type,Year,History_Pass_Rate,Math_Pass_Rate,Reading_Pass_Rate,Science_Pass_Rate,Writing_Pass_Rate,Overall_Pass_Rate
750,Haycock Elementary,Fairfax County,Elem,2021-2022,,96.0,96.0,94.0,,95.3
750,Haycock Elementary,Fairfax County,Elem,2022-2023,,97.0,98.0,98.0,,97.7
750,Haycock Elementary,Fairfax County,Elem,2023-2024,,97.0,97.0,99.0,,97.7
750,Haycock Elementary,Fairfax County,Elem,2024-2025,,98.0,99.0,98.0,,98.3
770,Lemon Road Elementary,Fairfax County,Elem,2020-2021,,77.0,83.0,68.0,,76.0
770,Lemon Road Elementary,Fairfax County,Elem,2021-2022,,86.0,89.0,77.0,,84.0
770,Lemon Road Elementary,Fairfax County,Elem,2022-2023,,91.0,91.0,89.0,,90.3
770,Lemon Road Elementary,Fairfax County,Elem,2023-2024,,88.0,89.0,82.0,,86.3
770,Lemon Road Elementary,Fairfax County,Elem,2024-2025,,88.0,87.0,87.0,,87.3
790,McLean High,Fairfax County,High,2020-2021,,78.0,80.0,88.0,90.0,84.0
790,McLean High,Fairfax County,High,2021-2022,92.0,91.0,95.0,88.0,,91.5
790,McLean High,Fairfax County,High,2022-2023,69.0,87.0,96.0,87.0,,84.8
790,McLean High,Fairfax County,High,2023-2024,,92.0,95.0,87.0,,91.3
790,McLean High,Fairfax County,High,2024-2025,,93.0,96.0,87.0,,92.0
800,Navy Elementary,Fairfax County,Elem,2020-2021,,88.0,92.0,79.0,,86.3
800,Navy Elementary,Fairfax County,Elem,2021-2022,,95.0,94.0,92.0,,93.7
800,Navy Elementary,Fairfax County,Elem,2022-2023,,95.0,93.0,95.0,,94.3
800,Navy Elementary,Fairfax County,Elem,2023-2024,,94.0,92.0,97.0,,94.3
800,Navy Elementary,Fairfax County,Elem,2024-2025,,95.0,96.0,95.0,,95.3
820,Pine Spring Elementary,Fairfax County,Elem,2020-2021,,33.0,45.0,25.0,,34.3
